boxes_box1_gps,boxes_crop,boxes_planting_date,boxes_expected_harvest_date,country,boxes_farmer_district,wet_completed_time,wet_kgs_crop_box1,wet_kgs_crop_box2,dry_box1_dry_weight,dry_box2_dry_weight,Latitude,Longitude,Altitude,Accuracy
-0.6067876 37.4682421 1198.8 5.0,maize,2021-10-22,2022-02-24,Kenya,Kirinyaga,2022-02-18,12.12,11.77,8.16,7.125,-0.6067876,37.4682421,1198.8,5.0
-0.64751 37.2894068 1224.0 3.9,maize,2021-10-07,2022-02-25,Kenya,Kirinyaga,2022-03-01,6.095,4.155,3.9,2.675,-0.64751,37.2894068,1224.0,3.9
-0.5982133 37.31577 1275.7 4.5,maize,2020-10-04,2022-03-04,Kenya,Kirinyaga,2022-03-02,8.945,7.36,4.405,3.405,-0.5982133,37.31577,1275.7,4.5
-0.6749 37.43704 1130.39 2.2,maize,2021-10-21,2022-02-23,Kenya,Kirinyaga,2022-02-26,5.145,12.27,3.215,2.72,-0.6749,37.43704,1130.39,2.2
-0.5767772 37.3330751 1294.3 3.9,maize,2020-10-04,2022-03-04,Kenya,Kirinyaga,2022-03-02,3.56,0.14,2.435,0.1,-0.5767772,37.3330751,1294.3,3.9
-0.594345 37.3404633 1255.0 7.0,maize,2020-10-04,2022-03-04,Kenya,Kirinyaga,2022-03-02,14.88,11.42,6.455,4.255,-0.594345,37.3404633,1255.0,7.0
-0.5527773 37.3489127 1354.0 3.9,maize,2021-10-04,2022-03-04,Kenya,Kirinyaga,2022-03-02,9.185,11.89,7.01,9.43,-0.5527773,37.3489127,1354.0,3.9
-0.5916507 37.3203438 1268.4 5.94,maize,2021-10-04,2022-03-04,Kenya,Kirinyaga,2022-03-02,5.66,3.78,3.515,1.665,-0.5916507,37.3203438,1268.4,5.94
-0.7385873 37.3223027 1153.7 3.9,maize,2021-10-09,2022-02-25,Kenya,Kirinyaga,2022-03-01,24.69,24.5,22.5,19.73,-0.7385873,37.3223027,1153.7,3.9
-0.7891516 37.4413233 1108.89 4.2,maize,2021-10-22,2022-02-23,Kenya,Kirinyaga,2022-03-04,4.325,4.885,2.745,3.405,-0.7891516,37.4413233,1108.89,4.2
-0.4357971 37.551706 1477.7 4.9,maize,2021-09-20,2022-02-20,Kenya,Kirinyaga,2022-02-28,5.195,4.705,2.995,2.185,-0.4357971,37.551706,1477.7,4.9
