plot_id,longitude,latitude,Altitude,crop_type,planting_date,season,country,county
172,37.8574917,0.08497,1147.7,maize,10/5/2021,Short Rains,Kenya,Meru
173,37.7232254,0.1364214,1433.1,maize,10/9/2021,Short Rains,Kenya,Meru
174,37.64396,0.1614809,1486.45,maize,10/17/2021,Short Rains,Kenya,Meru
175,37.8629449,-0.1051202,785.8,maize,11/20/2021,Short Rains,Kenya,Meru
176,37.6696852,0.1925149,1418.36,maize,10/5/2021,Short Rains,Kenya,Meru
177,37.75876167,-0.039268333,1170.5,maize,10/16/2021,Short Rains,Kenya,Meru
178,37.8180527,0.0877447,1163.7,maize,10/23/2021,Short Rains,Kenya,Meru
179,37.8200266,0.088947,1134.4,maize,10/18/2021,Short Rains,Kenya,Meru
180,37.8629599,-0.1050947,802.4,maize,11/22/2021,Short Rains,Kenya,Meru
181,37.8629973,-0.1049787,763.4,maize,11/17/2021,Short Rains,Kenya,Meru
182,37.8614894,-0.1065185,789.9,maize,10/16/2021,Short Rains,Kenya,Meru
183,37.76666,-0.007201667,1116.5,maize,10/15/2021,Short Rains,Kenya,Meru
184,37.6663698,-0.0171375,1531.5,maize,11/20/2021,Short Rains,Kenya,Meru
185,37.7832314,0.1727234,1516.3,maize,10/15/2021,Short Rains,Kenya,Meru
186,38.025986,0.124419,790.3,maize,11/15/2021,Short Rains,Kenya,Meru
187,37.8222117,0.0905117,1183.59,maize,10/14/2021,Short Rains,Kenya,Meru
188,37.8625849,-0.1053609,764.24,maize,10/27/2021,Short Rains,Kenya,Meru
189,37.8627207,-0.1053927,775.4,maize,11/22/2021,Short Rains,Kenya,Meru
190,37.8629852,-0.1050341,766.9,maize,11/22/2021,Short Rains,Kenya,Meru
191,37.834035,-0.014081667,973.9,maize,10/15/2021,Short Rains,Kenya,Meru
192,37.8625036,-0.1055053,760.59,maize,10/24/2021,Short Rains,Kenya,Meru
193,38.0818897,0.3013135,897,maize,10/24/2021,Short Rains,Kenya,Meru
194,37.862867,-0.1051195,810.9,maize,12/6/2021,Short Rains,Kenya,Meru
195,37.64908,0.1866122,1428.91,maize,10/8/2021,Short Rains,Kenya,Meru
196,37.8615633,-0.1063717,781.2,maize,10/8/2021,Short Rains,Kenya,Meru
197,37.8626439,-0.1053738,783.8,maize,11/26/2021,Short Rains,Kenya,Meru
198,37.785055,0.121295,1399.2,maize,10/4/2021,Short Rains,Kenya,Meru
199,37.8689214,-0.126102,710.5,maize,10/12/2021,Short Rains,Kenya,Meru
200,37.8624285,-0.1048102,760.81,maize,10/14/2021,Short Rains,Kenya,Meru
201,37.9435645,0.3616457,1794.5,maize,11/20/2021,Short Rains,Kenya,Meru
202,37.8627289,-0.1050941,758.23,maize,10/22/2021,Short Rains,Kenya,Meru
203,37.86297,-0.105135,816.9,maize,11/23/2021,Short Rains,Kenya,Meru
204,37.773725,0.0218309,1106.71,maize,11/23/2021,Short Rains,Kenya,Meru
205,37.8630099,-0.1050924,758.12,maize,11/23/2021,Short Rains,Kenya,Meru
206,37.6183688,0.1718228,1556.91,maize,10/7/2021,Short Rains,Kenya,Meru
207,37.8571825,-0.1112816,788.38,maize,10/28/2021,Short Rains,Kenya,Meru
208,37.6178577,0.1716963,1550.17,maize,10/3/2021,Short Rains,Kenya,Meru
209,37.6192928,0.1362594,1672.3,maize,10/9/2021,Short Rains,Kenya,Meru
210,37.8099628,0.0597189,1126,maize,10/19/2021,Short Rains,Kenya,Meru
